,UserInfo_2,UserInfo_4,UserInfo_7,UserInfo_8,UserInfo_19,UserInfo_20,UserInfo_24,target
0,深圳,深圳,广东,深圳,四川省,南充市,D,0
1,温州,温州,浙江,温州,福建省,不详,D,0
2,宜昌,宜昌,湖北,宜昌,湖北省,宜昌市,D,0
3,南平,南平,福建,南平,江西省,不详,D,0
4,辽阳,辽阳,辽宁,辽阳,辽宁省,锦州市,D,0
5,吴忠,银川,不详,不详,山东省,不详,D,0
6,绵阳,赤峰,内蒙古,包头,内蒙古自治区,赤峰市,D,1
7,东莞,东莞,广东,广州,湖北省,荆州市,D,0
8,赤峰,赤峰,内蒙古,赤峰,内蒙古自治区,赤峰市,内蒙古自治区赤峰市喀喇沁旗,1
9,武汉,鄂州,湖北,鄂州,湖北省,鄂州市,D,0
10,武汉,武汉,湖北,武汉,湖北省,武汉市,D,0
11,长沙,长沙,湖南,长沙,湖南省,湘潭市,D,0
12,漳州,漳州,福建,漳州,福建省,漳州市,D,0
13,牡丹江,牡丹江,黑龙江,牡丹江,黑龙江省,牡丹江市,D,1
14,太原,太原,山西,太原市,山西省,太原市,山西省太原市小店区,0
15,北京,北京,北京,北京,内蒙古自治区,不详,D,0
16,成都,忻州,山西,忻州,山西省,不详,D,0
17,三明,三明,福建,三明,福建省,三明市,D,0
18,临沂,临沂,山东,临沂,山东省,临沂市,D,1
19,临沂,临沂,山东,临沂,辽宁省,丹东市,D,0
20,福州,福州,福建,福州,四川省,绵阳市,D,0
21,泰州,泰州,江苏,泰州市,江苏省,扬州市,D,0
22,成都,大同,山西,大同,山西省,大同市,D,0
23,上海,上海,不详,不详,福建省,南平市,D,0
24,红河哈尼族彝族自治州,红河哈尼族彝族自治州,云南,红河,云南省,红河哈尼族彝族自治州,D,0
25,南平,南平,福建,南平,福建省,三明市,D,0
26,郴州,郴州,湖南,郴州,湖南省,郴州市,D,0
27,常州,常州,江苏,常州,江苏省,常州市,D,0
28,湖州,湖州,浙江,湖州,浙江省,湖州市,D,0
29,茂名,佛山,广东,佛山,广东省,茂名市,D,0
30,天津,天津,天津,天津,天津市,不详,D,0
31,南宁,南宁,广西,南宁,广西壮族自治区,不详,D,0
32,聊城,聊城,山东,聊城,山东省,不详,D,0
33,柳州,柳州,广西,柳州,广西壮族自治区,柳州市,D,0
34,广州,重庆,广东,广州市,江苏省,无锡市,D,0
35,庆阳,兰州,不详,不详,甘肃省,不详,D,0
36,南平,南平,福建,南平,福建省,南平市,D,0
37,太原,太原,山西,太原,山西省,太原市,D,0
38,南平,南平,福建,南平,贵州省,黔东南苗族侗族自治州,D,1
39,重庆,重庆,重庆,重庆,四川省,不详,D,0
40,曲靖,杭州,浙江,杭州,云南省,曲靖市,D,0
41,合肥,景德镇,江西,景德镇,江西省,赣州市,D,0
42,上饶,上饶,江西,上饶,江西省,不详,D,0
43,鸡西,鸡西,黑龙江,鸡西,黑龙江省,鸡西市,D,0
44,资阳,资阳,四川,资阳,四川省,内江市,D,0
45,兰州,成都,四川,成都,甘肃省,兰州市,甘肃省兰州市城关区,0
46,福州,福州,福建,福州,福建省,漳州市,D,0
47,北京,北京,北京,北京,湖南省,张家界市,湖南省张家界市慈利县,0
48,济宁,济宁,山东,济宁,山东省,济宁市,D,0
49,成都,成都,四川,成都,四川省,内江市,D,0
50,丽水,嘉兴,浙江,杭州,浙江省,不详,浙江省丽水市龙泉市,0
51,滨州,滨州,山东,滨州,山东省,不详,D,0
52,渭南,苏州,陕西,渭南,陕西省,渭南市,D,0
53,汕头,汕头,广东,广州,广东省,汕头市,D,0
54,深圳,深圳,广东,深圳,广东省,梅州市,D,0
55,温州,温州,浙江,温州,浙江省,温州市,D,0
56,黔南,黔南,贵州,都匀,重庆市,不详,D,0
57,上海,苏州,不详,不详,山东省,济宁市,D,0
58,临沂,临沂,山东,临沂,山东省,临沂市,D,0
59,廊坊,廊坊,河北,廊坊,河北省,廊坊市,河北省廊坊市三河市,0
60,西宁,西宁,青海,西宁市,青海省,西宁市,D,0
61,金华,金华,浙江,金华,湖北省,恩施土家族苗族自治州,D,0
62,龙岩,龙岩,福建,龙岩,福建省,龙岩市,D,0
63,清远,清远,广东,清远,广东省,清远市,D,0
64,兰州,兰州,甘肃,兰州,山西省,不详,D,0
65,徐州,徐州,江苏,徐州,江苏省,徐州市,D,0
66,潍坊,潍坊,山东,潍坊,山东省,潍坊市,D,0
67,廊坊,廊坊,河北,廊坊,河北省,不详,D,0
68,芜湖,芜湖,安徽,芜湖,安徽省,芜湖市,D,0
69,,梧州,不详,不详,福建省,莆田市,D,0
70,福州,福州,福建,福州,福建省,福州市,D,0
71,上海,广州,不详,不详,上海市,上海市,D,0
72,阳泉,深圳,广东,深圳,重庆市,不详,重庆市开县,0
73,资阳,资阳,四川,内江市,四川省,不详,D,0
74,包头,包头,不详,不详,江苏省,淮安市,D,0
75,陇南,兰州,甘肃,兰州,甘肃省,白银市,D,0
76,保定,保定,河北,保定,河北省,保定市,D,0
77,吉安,苏州,不详,不详,江西省,不详,D,0
78,吉安,吉安,不详,不详,江西省,不详,江西省吉安市吉水县,1
79,厦门,厦门,福建,厦门,浙江省,金华市,D,0
80,白银,白银,甘肃,白银,甘肃省,白银市,D,0
81,天津,衡水,天津,天津,河北省,衡水市,D,0
82,常州,常州,江苏,常州,江苏省,常州市,D,0
83,南宁,南宁,广西,南宁,广西壮族自治区,不详,D,0
84,大庆,大庆,黑龙江,大庆市,黑龙江省,大庆市,D,0
85,荆门,荆门,湖北,荆门,湖北省,荆门市,D,0
86,威海,威海,山东,威海,山东省,潍坊市,D,0
87,绵阳,绵阳,四川,成都市,四川省,绵阳市,D,0
88,石家庄,石家庄,河北,石家庄,吉林省,通化市,D,0
89,太原,晋城,山西,太原,山西省,晋城市,D,0
90,汕尾,汕尾,广东,汕尾,广东省,汕尾市,D,0
91,徐州,徐州,江苏,徐州市,江苏省,徐州市,D,0
92,温州,温州,浙江,温州,安徽省,阜阳市,D,0
93,淄博,淄博,山东,淄博,山东省,淄博市,D,1
94,东莞,中山,广东,佛山,广西壮族自治区,不详,D,0
95,泰州,泰州,江苏,泰州,江苏省,扬州市,D,0
96,巴彦淖尔盟,巴彦淖尔盟,内蒙古,巴彦淖尔市,内蒙古自治区,不详,D,0
97,保定,北京,不详,不详,黑龙江省,双鸭山市,D,1
98,柳州,柳州,广西,来宾,广西壮族自治区,不详,D,0
99,长沙,长沙,湖南,长沙,湖南省,不详,D,1
100,黔西南,黔西南,贵州,兴义,贵州省,黔西南布依族苗族自治州,贵州省黔西南布依族苗族自治州兴义市,0
101,淄博,淄博,山东,淄博,山东省,临沂市,D,0
102,昆明,昆明,云南,昆明,吉林省,长春市,D,1
103,金华,金华,浙江,金华,吉林省,延边朝鲜族自治州,D,0
104,唐山,重庆,重庆,重庆,河北省,唐山市,D,0
105,厦门,厦门,福建,厦门,福建省,三明市,D,0
106,太原,太原,不详,不详,山西省,太原市,D,0
107,宝鸡,宝鸡,陕西,宝鸡,陕西省,咸阳市,D,0
108,深圳,天津,不详,不详,湖北省,不详,D,0
109,酒泉,上海,北京,北京,甘肃省,兰州市,D,0
110,温州,丽水,浙江,温州,安徽省,不详,D,0
111,滨州,滨州,山东,滨州,山东省,不详,D,0
112,北京,北京,北京,北京,北京市,不详,北京市宣武区,0
113,延边朝鲜族自治州,通化,吉林,延吉,吉林省,通化市,D,0
114,东莞,玉林,广西,玉林,广西壮族自治区,不详,D,0
115,泉州,泉州,福建,南平,福建省,泉州市,D,0
116,十堰,武汉,湖北,十堰,湖北省,十堰市,D,0
117,无锡,苏州,江苏,无锡,江苏省,淮安市,D,0
118,黄冈,武汉,广东,东莞,湖北省,黄冈市,D,0
119,成都,成都,四川,成都,四川省,宜宾市,D,1
120,商丘,承德,河北,唐山,河南省,商丘市,D,0
121,抚州,深圳,不详,不详,江西省,不详,D,0
122,,,广东,广州,湖北省,潜江市,D,0
123,柳州,贵阳,贵州,贵阳,广西壮族自治区,不详,D,0
124,石家庄,石家庄,不详,不详,河北省,石家庄市,D,0
125,吕梁,吕梁,山西,吕梁,山西省,吕梁市,D,0
126,鞍山,阜新,辽宁,锦州,辽宁省,鞍山市,D,0
127,阿拉善盟,呼和浩特,内蒙古,阿拉善盟,内蒙古自治区,阿拉善盟,内蒙古自治区阿拉善盟阿拉善右旗,0
128,泉州,泉州,福建,泉州,福建省,泉州市,D,0
129,黑河,黑河,不详,不详,黑龙江省,伊春市,D,1
130,聊城,聊城,山东,聊城,山东省,不详,D,0
131,宿州,蚌埠,安徽,宿州市,安徽省,不详,D,0
132,克拉玛依,克拉玛依,新疆,克拉玛依,甘肃省,不详,新疆维吾尔自治区克拉玛依市克拉玛依区,0
133,成都,成都,四川,成都,四川省,成都市,D,0
134,淮南,六安,安徽,六安市,安徽省,淮南市,D,0
135,吉安,吉安,江西,吉安,江西省,不详,D,0
136,邵阳,邵阳,湖南,邵阳,湖南省,益阳市,D,0
137,宜昌,泉州,福建,泉州,湖北省,宜昌市,D,0
138,惠州,惠州,广东,惠州,湖北省,鄂州市,D,0
139,天津,天津,天津,天津,天津市,不详,天津市津南区,0
140,益阳,益阳,湖南,益阳,湖南省,益阳市,D,0
141,温州,南昌,江西,南昌,江西省,赣州市,江西省赣州市宁都县,0
142,淮安,淮安,江苏,淮安,江苏省,淮安市,D,0
143,临汾,西安,山西,运城,山西省,不详,D,0
144,无锡,海口,海南,海口,江苏省,镇江市,D,0
145,成都,运城,山西,运城,山西省,长治市,D,1
146,咸宁,深圳,湖北,武汉,湖北省,荆门市,D,0
147,东莞,东莞,广东,东莞,湖南省,不详,D,0
